"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296200625","17:36:00","17:36:00","128","6","L.A. Union Station","0","17:36:00","1"
"296200625","17:43:00","17:43:00","174","7","L.A. Union Station","0","17:43:00","1"
"296200625","17:49:00","17:49:00","130","8","L.A. Union Station","0","17:49:00","1"
"296200625","17:57:00","17:57:00","143","9","L.A. Union Station","0","17:57:00","1"
"296200625","18:20:00","18:20:00","107","10","L.A. Union Station","0","18:20:00","1"
"296200626","17:40:00","17:40:00","107","1","Oceanside","0","17:40:00","1"
"296200626","17:54:00","17:54:00","135","2","Oceanside","0","17:54:00","1"
"296200626","18:05:00","18:05:00","143","3","Oceanside","0","18:05:00","1"
"296200626","18:12:00","18:12:00","130","4","Oceanside","0","18:12:00","1"
"296200626","18:18:00","18:18:00","174","5","Oceanside","0","18:18:00","1"
"296200626","18:25:00","18:25:00","128","6","Oceanside","0","18:25:00","1"
"296200626","18:30:00","18:30:00","145","7","Oceanside","0","18:30:00","1"
"296200626","18:35:00","18:35:00","154","8","Oceanside","0","18:35:00","1"
"296200626","18:41:00","18:41:00","156","9","Oceanside","0","18:41:00","1"
"296200626","18:48:00","18:48:00","140","10","Oceanside","0","18:48:00","1"
"296200626","18:58:00","18:58:00","141","11","Oceanside","0","18:58:00","1"
"296200626","19:05:00","19:05:00","153","12","Oceanside","0","19:05:00","1"
"296200626","19:15:00","19:15:00","152","13","Oceanside","0","19:15:00","1"
"296200626","19:38:00","19:38:00","144","14","Oceanside","0","19:38:00","1"
"296200627","18:02:00","18:02:00","141","1","L.A. Union Station","0","18:02:00","1"
"296200627","18:12:00","18:12:00","140","2","L.A. Union Station","0","18:12:00","1"
"296200627","18:20:00","18:20:00","156","3","L.A. Union Station","0","18:20:00","1"
"296200627","18:26:00","18:26:00","154","4","L.A. Union Station","0","18:26:00","1"
"296200627","18:31:00","18:31:00","145","5","L.A. Union Station","0","18:31:00","1"
"296200627","18:36:00","18:36:00","128","6","L.A. Union Station","0","18:36:00","1"
